"2025–26 ISIR Record Layout 
November 2024 ",,,,,,,,
Field #,FAFSA Category and #,Start Position,End Position,Length,Changes,Field Name,Valid Content,
"Transaction Identification: FAFSA Identification UUID, Transaction UUID, Application and 
Transaction Data Sources, Model, Transaction Dates, etc.",,,,,,,,
1,N/A,1,1,1,Revised the valid content,Year Indicator,"6, will always be “6” (for 2025–26)",
2,N/A,2,37,36,None,FAFSA UUID,Alphanumeric ,
3,N/A,38,73,36,None,Transaction UUID,Alphanumeric,
4,N/A,74,109,36,None,Person UUID,Alphanumeric,
5,N/A,110,111,2,None,Transaction Number,01 to 99,
6,N/A,112,112,1,None,Dependency Model,"D = Dependent 
I = Independent 
Z = Provisional Independent  
X = Rejected Dependent
Y = Rejected Independent",
7,N/A,113,113,1,None,Application Source,"1 = Electronic Data Exchange
2 = Online FAFSA
3 = FAFSA Partner Portal
4 = Paper
5 = FPS
6 = FSAIC",
8,N/A,114,121,8,Revised the valid content,Application Receipt Date,"Format is CCYYMMDD
20241001 to 20260630 
Blank",
9,N/A,122,122,1,None,Transaction Source,"1 = Electronic Data Exchange
2 = Online FAFSA
3 = FAFSA Partner Portal
4 = Paper
5 = FPS
6 = FSAIC",
10,N/A,123,123,1,None,Transaction Type,"A = Application
C = Correction",
11,N/A,124,124,1,None,Transaction Language ,"E = English
S = Spanish",
12,N/A,125,132,8,Revised the valid content,Transaction Receipt Date,"Format is CCYYMMDD
20241001 to 20260930",
13,N/A,133,140,8,Revised the valid content,Transaction Process Date ,"Format is CCYYMMDD
20241001 to 20260930",
14,N/A,141,170,30,None,Transaction Status ,"Processed
Processed with Action Required",
15,N/A,171,173,3,None,Renewal Data Used,"Yes
Blank",
16,N/A,174,174,1,Added value A,FPS Correction Reason,"A = FTIM Result Update
C = COD FWS Update
D = Drug Abuse Hold Release Expired Date
F = Drug Abuse Hold Release FSA
L = Identity Hold Release
M = DHS Secondary Results Processing
N = NSLDS Postscreening
P = Reprocessing
W = NTIS Death File Match
Y = Identity Verification
Blank",
17,N/A,175,175,1,None,SAI Change Flag,"1 = SAI Increased
2 = SAI Decreased
Blank",
18,N/A,176,181,6,None,SAI,"-1500 to 999999 
Blank",
19,N/A,182,187,6,None,Provisional SAI,"-1500 to 999999 
Blank",
20,N/A,188,188,1,None,SAI Formula ,"A = Dependent 
B = Independent without dependents
C = Independent with dependents
Blank",
21,N/A,189,190,2,None,SAI Computation Type,"1 = Dep. Max Pell = 1 and Unmarried
2 = Dep. Max Pell = 1 and Married
3 = Dep. Max Pell = 2 and AGI >0 and <= 225% poverty line
4 = Dep. Max Pell = 3 and AGI >0 and <= 175% poverty line
5 = Indep. Max Pell = 1 and Unmarried 
6 = Indep. Max Pell = 1 and Married
7 = Indep. Max Pell = 2 and AGI >0 and <= 225% poverty line
8 = Indep. Max Pell = 3 and AGI >0 and <= 175% poverty line
9 to 13 = For Federal Student Aid use only
Blank",
22,N/A,191,191,1,None,Max Pell Indicator,"1 = Nonfiler
2 = Single parent and AGI <= 225% poverty line
3 = Not a single parent and AGI <= 175% poverty line
Blank",
23,N/A,192,192,1,None,Minimum Pell Indicator,"1 = Dep. Single parent and AGI <= 325% poverty line 
2 = Dep. Not a single Parent and AGI <=275% poverty line 
3 = Indep. Single parent and AGI <=400% poverty line 
4 = Indep. Not a single parent and <=350% poverty line 
5 = Indep. Not a parent and <=275% of poverty line 
Blank",
24,N/A,193,242,50,None,Filler: Student Information,For Federal Student Aid use only,
"Student Demographic, Identity, and Contact Information ",,,,,,,,
25,"Student Identity 
1a",243,277,35,None,First Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
26,1b,278,292,15,None,Middle Name,"First character must contain a letter
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
27,1c,293,327,35,None,Last Name,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
First character must contain a letter and second character must be non-numeric",
28,1d,328,337,10,None,Suffix,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
29,1e,338,345,8,Revised valid content,Date of Birth,"19000101 to current date
Numeric within valid range. 
Format is CCYYMMDD where MM is 01 to 12, (CC is 19 and YY is 00 to 99) or (CC is 20 and YY is 00 to 25). Valid day range depending on month (see table below).

Month Valid Day Range
 01: 01-31
 02: 01 to 28 (unless year is divisible by 4 for non-centurial years or 400 for centurial years, then 01 to 29 is valid)
 03: 01-31
 04: 01-30
 05: 01-31
 06: 01-30
 07: 01-31
 08: 01-31
 09: 01-30
 10: 01-31
 11: 01-30
 12: 01-31",
30,1f,346,354,9,Revised description,"Social Security Number 
Pseudo SSNs created in a cycle prior to 2024–25 will begin with 666
Pseudo SSNs created in 2024–25 cycle or later will begin with 000","000010001 to 999999999
",
31,1g,355,363,9,None,ITIN ,"900000000 to 999999999
Blank",
32,"Student Contact Information
2a",364,373,10,None,Phone Number,"0000000000 to 9999999999
Blank",
